time,open,high,low,close,MACD,Signal Line,Histogram,Cross
1509321600,305,316,302.1,307.25,-1.5700837046845209,-1.5683370597875776,-0.0017466448969432058,NaN
1509408000,307.25,309.99,304.01,304.9,-1.1464666900783982,-1.8740295511803993,0.7275628611020011,-1.8740295511803993
1509494400,304.89,305.9,286.34,287.01,-2.228630377323441,-2.039703451894152,-0.18892692542928868,-2.039703451894152
1509580800,287.3,293,274.73,283.12,-3.361395313172693,-2.2726548858917304,-1.0887404272809627,NaN
1509667200,283.12,307,282,304.08,-2.538559917462919,-2.3442659093966096,-0.1942940080663096,NaN
1509753600,304.09,304.99,292.11,298.04,-2.3467822152120448,-2.3441404616081627,-0.00264175360388208,NaN
1509840000,298.04,302.14,293.13,295.53,-2.3700129930472826,-2.324419176424783,-0.04559381662249962,NaN
1509926400,295.53,305.58,290.11,297.97,-2.1665611751911342,-2.228411176684309,0.061850001493174656,-2.228411176684309
1510012800,297.97,303.52,287,291.78,-2.4762606207432896,-2.2449725563239693,-0.23128806441932026,-2.2449725563239693
1510099200,291.78,320,290.02,303.02,-1.7940449655976067,-2.269857140869868,0.47581217527226105,-2.269857140869868
1510185600,303.6,329,299.5,317.87,-0.054485179194614375,-2.1485258618827805,2.094040682688166,NaN
1510272000,318.5,322.65,285.82,293.5,-0.6350068829621591,-1.971456584731527,1.336449701769368,NaN
1510358400,293.5,318,291.91,310.02,0.2352397238634012,-1.5718304695052945,1.8070701933686957,NaN
1510444800,310.87,316.99,281.01,305.24,0.5330655300787726,-1.230538753111773,1.7636042831905456,NaN
1510531200,304,318.88,303.7,312.99,1.378563634320642,-0.81661143649703,2.195175070817672,NaN
1510617600,312.99,337.54,312.94,335.61,3.8297252415264893,-0.12775163265549988,3.9574768741819892,NaN
1510704000,335.6,339,324,331.33,5.365082908237298,0.7090977099476592,4.655985198289638,NaN
1510790400,331.33,334.75,321.41,331.49,6.519621445879807,1.70864016179467,4.810981284085137,NaN
1510876800,331.49,334.6,323.84,331.23,7.329136010176569,2.7223269368806893,4.60680907329588,NaN
1510963200,331.23,349.9,326.01,346.66,9.11073134106232,3.7406843280203486,5.370047013041971,NaN
1511049600,346.66,373.56,343.07,354.15,11.000235018068963,5.033488983690473,5.96674603437849,NaN
1511136000,355.15,372.5,353.9,367.42,13.413832086742957,6.497777024010424,6.916055062732533,NaN
1511222400,367.42,375.5,350.02,362.12,14.729170735000423,8.075122046779496,6.654048688220927,NaN
1511308800,362.12,384.84,359,380.65,17.070029553606673,9.8186182600335,7.251411293573174,NaN
1511395200,380.63,425,370.02,405,20.65195564164742,11.687754971158048,8.96420067048937,NaN
1511481600,405.03,475,392.8,469,28.328371173398466,14.239231445064844,14.089139728333622,NaN
1511568000,467.57,484.47,450,461.82,33.447062872936726,17.231169381404502,16.215893491532224,NaN
1511654400,461,465,436.14,462.84,37.157638274307885,20.545447410752427,16.61219086355546,NaN
1511740800,462.84,486.94,453,472.31,40.3967769702619,24.02167470288571,16.375102267376185,NaN
1511827200,472.32,477.5,453.5,466.17,41.98440099734535,27.464359811694198,14.520041185651149,NaN
1511913600,466.17,515,385,421.7,39.2023468761447,30.32975034384995,8.872596532294754,NaN
1512000000,421.92,460,387.01,427.43,37.03301846920806,32.8079556476508,4.225062821557259,NaN
1512086400,428.05,465.97,413.74,457.51,37.31091765500747,35.05694321447311,2.253974440534364,NaN
1512172800,457.53,471.91,445,457.63,37.113021944109505,36.88595058141334,0.22707136269616512,NaN
1512259200,457.31,485.9,440.11,460.3,36.74802647894319,37.821467837584976,-1.0734413586417872,37.821467837584976
1512345600,460.3,470.98,445,466.66,36.55063086972234,38.16630872611671,-1.6156778563943703,NaN
